time,front-end_1,user_2,front-end_3,front-end_4,front-end_5,front-end_6,front-end_7,user_8,user_9,orders_10,payment_11,orders_12,shipping_13,queue-master_14,queue-master_15,queue-master_16,queue-master_17,queue-master_18,front-end_19,front-end_20,catalogue_21,catalogue_22,front-end_23,payment_24,front-end_25,user_26,front-end_27,front-end_28,front-end_29,front-end_30,front-end_31,front-end_32,front-end_33,front-end_34,user_35,front-end_36,front-end_37,user_38,front-end_39,front-end_40,front-end_41,front-end_42,front-end_43,user_44,catalogue_45,front-end_46,front-end_47,front-end_48,carts_49,user_50,user-db_51,orders-db_52,orders-db_53,front-end_54,orders_55,orders_56,orders_57,orders_58,orders_59,orders_60,orders_61,orders_62,orders_63,orders_64,orders_65,orders_66,orders_67,orders_68,orders_69,orders_70,orders_71,orders_72,orders_73,orders_74,orders_75,orders_76,orders_77,orders_78,orders_79,orders-db_80,orders_81,orders_82,orders_83,orders_84,orders_85,orders_86,orders_87,orders_88,orders_89,orders_90,orders_91,orders_92,orders_93,orders_94,orders_95,orders_96,orders_97,orders_98,orders_99
1705823700,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,12,12,10,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,12,12,12,12,10,12,12,12,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823715,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,19,19,10,19,19,19,19,19,19,19,19,19,13,13,13,13,13,13,13,13,13,13,10,13,13,13,14,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823730,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,18,18,10,14,14,14,14,14,14,14,14,14,16,16,16,16,16,16,16,16,16,16,10,16,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823745,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,12,12,10,13,13,13,13,13,13,13,13,13,16,16,16,16,16,16,16,16,16,16,10,16,16,16,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823760,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,10,20,20,20,20,20,20,20,20,20,14,14,14,14,14,14,14,14,14,14,10,14,14,14,15,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823775,18,72,54,18,18,18,18,18,18,18,18,18,18,18,18,54,54,18,36,18,10,16,16,10,12,12,12,12,12,12,12,12,12,15,15,15,15,15,15,15,15,15,15,10,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823790,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823805,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,13,13,10,24,24,24,24,24,24,24,24,24,17,17,17,17,17,17,16,16,16,16,10,16,16,16,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823820,20,79,60,20,20,20,20,19,19,19,19,19,19,19,19,57,57,19,38,19,10,9,9,10,12,12,12,12,12,12,12,12,12,20,20,20,20,20,20,21,21,21,21,10,21,21,21,21,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823835,18,73,54,18,18,18,18,19,19,19,19,19,19,19,19,57,57,19,38,19,10,25,25,10,14,14,14,14,14,14,14,14,14,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823850,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,13,13,10,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,19,19,19,19,10,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823865,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,10,10,10,16,16,16,16,16,16,16,16,16,17,17,17,16,16,16,16,16,16,16,10,16,16,16,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823880,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,18,18,10,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,10,17,17,17,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823895,15,59,45,15,15,15,15,14,14,14,14,14,14,14,14,42,42,14,28,14,10,16,16,10,17,17,17,17,17,17,17,17,17,15,15,15,15,15,15,15,15,15,15,10,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823910,14,57,42,14,14,14,14,15,15,15,15,15,15,15,15,45,45,15,30,15,10,16,16,10,16,16,16,16,16,16,16,16,16,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823925,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,16,16,10,13,13,13,13,13,13,13,13,13,18,18,18,18,18,18,18,18,18,18,10,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823940,15,60,45,15,15,15,15,15,15,15,15,15,15,15,15,45,45,15,30,15,10,18,18,10,18,18,18,18,18,18,18,18,18,14,14,14,14,14,14,14,14,14,14,10,14,14,14,14,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823955,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,10,18,18,18,18,18,18,18,18,18,22,22,22,22,22,22,22,22,22,22,10,22,22,22,22,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823970,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,16,16,10,11,11,11,11,11,11,11,11,11,8,8,8,8,8,8,8,8,8,8,10,8,8,8,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705823985,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,12,12,10,23,23,23,23,23,23,23,23,23,20,20,20,20,20,20,20,20,20,20,10,20,20,20,20,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705824000,20,80,60,20,20,20,20,20,20,20,20,20,20,20,20,60,60,20,40,20,10,16,16,10,8,8,8,8,8,8,8,8,8,15,15,15,15,15,15,15,15,15,15,10,15,15,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705824015,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,20,20,10,15,15,15,15,15,15,15,15,15,12,12,12,12,12,12,11,11,11,11,10,11,11,11,11,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705824030,12,48,36,12,12,12,12,12,12,12,12,12,12,12,12,36,36,12,24,12,10,12,12,10,18,18,18,18,18,18,18,18,18,12,12,12,12,12,12,13,13,13,13,10,13,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705824045,16,64,48,16,16,16,16,16,16,16,16,16,16,16,16,48,48,16,32,16,10,15,15,10,17,17,17,17,17,17,17,17,17,23,23,23,23,23,23,23,23,23,23,10,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705824060,22,88,66,22,22,22,22,22,22,22,22,22,22,22,22,66,66,22,44,22,10,18,18,10,9,9,9,9,9,9,9,9,9,11,11,11,11,11,11,11,11,11,11,10,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705824075,8,32,24,8,8,8,8,8,8,8,8,8,8,8,8,24,24,8,16,8,10,15,15,10,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,10,13,13,13,13,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705824090,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,12,12,10,13,13,13,13,13,13,13,13,13,17,17,17,17,17,17,17,17,17,17,10,17,17,17,16,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705824105,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,12,12,10,20,20,20,20,20,20,20,20,20,15,15,15,15,15,15,15,15,15,15,10,15,15,15,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705824120,13,52,39,13,13,13,13,13,13,13,13,13,13,13,13,39,39,13,26,13,10,16,16,10,12,12,12,12,12,12,12,12,12,17,17,17,17,17,17,17,17,17,17,10,17,17,17,17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705824135,19,76,57,19,19,19,19,19,19,19,19,19,19,19,19,57,57,19,38,19,10,18,18,10,11,11,11,11,11,11,11,11,11,9,9,9,9,9,9,9,9,8,8,10,8,8,8,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705824150,11,44,33,11,11,11,11,11,11,11,11,11,11,11,11,33,33,11,22,11,10,13,13,10,21,21,21,21,21,21,21,21,21,18,18,18,18,18,18,18,18,19,19,10,19,19,19,19,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705824165,17,68,51,17,17,17,17,17,17,17,17,17,17,17,17,51,51,17,34,17,10,13,13,10,12,12,12,12,12,12,12,12,12,16,16,16,16,16,16,16,16,16,16,10,16,16,16,16,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705824180,14,56,42,14,14,14,14,14,14,14,14,14,14,14,14,42,42,14,28,14,10,18,18,10,16,16,16,16,16,16,16,16,16,13,13,13,13,13,13,13,13,13,13,10,13,13,13,13,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1705824195,2,8,6,2,2,2,2,2,2,2,2,2,2,2,2,6,6,2,4,2,2,7,7,4,8,8,8,8,8,8,8,8,8,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
